"Table S2. Updated from Rubino et al., A revised 1000 year atmospheric  13C-CO2 record from Law Dome and South Pole, Antarctica",,,,,,,,
"All measurements reported here were conducted at CSIRO, except for CO2 concentration in the South Pole 1995 samples, which was measured at NOAA/INSTAAR",,,,,,,,
Site code,"Sample type (ice, BFI, blank, firn)",depth [m],effective age [AD] for CO2,CO2 corrected for blank and gravity [ppm],Total uncertainty on CO2 [ppm],"d13C-CO2 corrected for blank, gravity and diffusion, vPDB [‰]",Total uncertainty on d13C-CO2 [‰],CSIRO Universal Analysis Number
DE08-2,firn,0,1993,354.31,0.03,-7.84,0.02,930345
DE08-2,firn,0,1993,353.58,0.05,n/a,n/a,940573
DE08-2,firn,10,1991,352.5,0.1,-7.8,0.02,930338
DE08-2,firn,10,1991,352.33,0.1,n/a,n/a,930351
DE08-2,firn,15,1991,351.83,0.25,-7.77,0.02,930339
DE08-2,firn,20,1990,351.14,0.28,-7.78,0.02,930340
DE08-2,firn,20,1990,350.72,0.1,n/a,n/a,940574
DE08-2,firn,20,1990,350.57,0.1,n/a,n/a,940575
DE08-2,firn,30,1989,349.53,0.15,-7.78,0.02,930342
DE08-2,firn,30,1989,349.02,0.1,n/a,n/a,940576
DE08-2,firn,40,1988,347.6,0.4,-7.77,0.02,930343
DE08-2,firn,40,1988,n/a,n/a,n/a,n/a,940577
DE08-2,firn,50,1987,345.44,0.03,n/a,n/a,940568
DE08-2,firn,55,1987,345.14,0.17,-7.71,0.02,930346
DE08-2,firn,55,1987,344.97,0.05,-7.71,0.02,930347
DE08-2,firn,55,1987,344.51,0.12,n/a,n/a,940569
DE08-2,firn,55,1987,344.25,0.04,n/a,n/a,940570
DE08-2,firn,60,1986,344.28,0.03,-7.73,0.02,930348
DE08-2,firn,60,1986,343.66,0.09,n/a,n/a,940571
DE08-2,firn,65,1986,343.64,0.27,-7.7,0.02,930335
DE08-2,firn,65,1986,342.88,0.06,n/a,n/a,940566
DE08-2,firn,65,1986,342.8,0.1,n/a,n/a,940572
DE08-2,firn,70,1985,342.53,0.5,-7.67,0.02,930336
DE08-2,firn,70,1985,341.57,0.43,n/a,n/a,940565
DE08-2,firn,75,1983,339.52,0.16,-7.61,0.02,930337
DE08-2,firn,75,1983,339.41,0.44,n/a,n/a,930350
DE08-2,firn,80,1979,335.23,0.65,-7.51,0.02,930341
DE08-2,firn,80,1979,334.47,0.1,n/a,n/a,940567
DE08-2,firn,85,1976,332.37,0.04,-7.45,0.02,930349
DSSW20K,firn,15.8,1996,359.62,0.09,n/a,n/a,980162
DSSW20K,firn,15.8,1996,359.67,0.1,n/a,n/a,980163
DSSW20K,firn,15.8,1996,359.65,0.1,n/a,n/a,980164
DSSW20K,firn,29,1994,357.35,0.26,n/a,n/a,980142
DSSW20K,firn,29,1994,356.96,0.15,n/a,n/a,980165
DSSW20K,firn,29,1994,357.02,0.11,n/a,n/a,980166
DSSW20K,firn,29,1994,357.09,0.12,n/a,n/a,980167
DSSW20K,firn,37.8,1992,353.86,0.33,n/a,n/a,980143
DSSW20K,firn,37.8,1992,353.66,0.19,-7.85,0.04,980168
DSSW20K,firn,37.8,1992,353.65,0.26,n/a,n/a,980174
DSSW20K,firn,37.8,1992,353.73,0.1,n/a,n/a,980175
DSSW20K,firn,41.7,1989,350.05,0.15,n/a,n/a,980144
DSSW20K,firn,41.7,1989,349.8,0.07,-7.8,0.03,980169
DSSW20K,firn,41.7,1989,349.78,0.08,n/a,n/a,980176
DSSW20K,firn,41.7,1989,349.58,0.25,n/a,n/a,980177
DSSW20K,firn,44.5,1983,341.58,0.22,n/a,n/a,980145
DSSW20K,firn,44.5,1983,341.16,0.06,-7.66,0.04,980170
DSSW20K,firn,44.5,1983,341.42,0.06,n/a,n/a,980178
DSSW20K,firn,44.5,1983,341.15,0.05,n/a,n/a,980179
DSSW20K,firn,47,1971,324.9,0.16,n/a,n/a,980146
DSSW20K,firn,47,1971,324.88,0.27,-7.24,0.03,980171
DSSW20K,firn,47,1971,325.04,0.06,n/a,n/a,980180
DSSW20K,firn,47,1971,324.8,0.21,n/a,n/a,980181
DSSW20K,firn,49.5,1957,316.44,0.17,n/a,n/a,980147
DSSW20K,firn,49.5,1957,316.29,0.18,-7.02,0.03,980172
DSSW20K,firn,49.5,1957,316.33,0.1,n/a,n/a,980182
DSSW20K,firn,49.5,1957,316.24,0.06,n/a,n/a,980183
DSSW20K,firn,52,1938,312.5,0.29,n/a,n/a,980149
DSSW20K,firn,52,1938,312.58,0.16,n/a,n/a,980150
DSSW20K,firn,52,1938,312.23,0.06,-6.93,0.03,980173
DSSW20K,firn,52,1938,312.31,0.18,n/a,n/a,980184
DSSW20K,firn,52,1938,312.07,0.06,n/a,n/a,980185
DSSW20K,firn,52,1938,312.28,0.06,n/a,n/a,980189
SOUTH POLE 2001,firn,0,2001,368,0.05,-8.01,0.01,993579
SOUTH POLE 2001,firn,0,2001,368.04,0.07,-8.01,0.02,993583
SOUTH POLE 2001,firn,119.87,1929,305.84,0.05,-6.83,0.03,993576
SOUTH POLE 2001,firn,119.87,1929,305.23,0.1,-6.78,0.03,993577
SOUTH POLE 2001,firn,119.87,1929,305.39,0.09,-6.78,0.03,993578
SOUTH POLE 2001,firn,119.87,1929,305.37,0.06,-6.79,0.06,993580
SOUTH POLE 2001,firn,119.87,1929,305.16,0.09,-6.79,0.03,993581
SOUTH POLE 2001,firn,119.87,1929,305.3,0.04,-6.79,0.03,993582
SOUTH POLE 95,firn,0,1995,356.86,0.1,-7.88,0.02,951431
SOUTH POLE 95,firn,0,1995,356.86,0.1,-7.91,0.02,951432
SOUTH POLE 95,firn,0,1995,356.86,0.1,-7.91,0.02,951433
SOUTH POLE 95,firn,0,1995,356.86,0.1,-7.9,0.02,951434
SOUTH POLE 95,firn,10.07,1993,355.42,0.1,-7.84,0.02,951403
SOUTH POLE 95,firn,10.07,1993,355.42,0.1,-7.84,0.02,951404
SOUTH POLE 95,firn,30.04,1990,350.22,0.1,-7.81,0.02,951405
SOUTH POLE 95,firn,30.04,1990,350.22,0.1,-7.8,0.02,951406
SOUTH POLE 95,firn,39.82,1988,347.94,0.1,-7.74,0.02,951368
SOUTH POLE 95,firn,39.82,1988,347.94,0.1,-7.77,0.02,951369
SOUTH POLE 95,firn,50.12,1986,345.07,0.1,-7.7,0.02,951407
SOUTH POLE 95,firn,50.12,1986,345.07,0.1,-7.63,0.13,951408
SOUTH POLE 95,firn,59.99,1984,342.45,0.1,-7.64,0.02,951370
SOUTH POLE 95,firn,59.99,1984,342.45,0.1,-7.66,0.02,951371
SOUTH POLE 95,firn,68.35,1983,340.13,0.1,-7.62,0.02,951372
SOUTH POLE 95,firn,68.35,1983,340.13,0.1,-7.62,0.02,951373
SOUTH POLE 95,firn,75.03,1982,338.38,0.1,-7.6,0.02,951374
SOUTH POLE 95,firn,75.03,1982,338.38,0.1,-7.61,0.02,951375
SOUTH POLE 95,firn,83.04,1980,336.38,0.1,-7.55,0.02,951376
SOUTH POLE 95,firn,83.04,1980,336.38,0.1,-7.56,0.02,951377
SOUTH POLE 95,firn,84.73,1980,335.79,0.1,-7.53,0.02,951411
SOUTH POLE 95,firn,84.73,1980,335.79,0.1,-7.48,0.02,951412
SOUTH POLE 95,firn,89.88,1979,334.31,0.1,-7.5,0.02,951378
SOUTH POLE 95,firn,89.88,1979,334.31,0.1,-7.5,0.02,951379
SOUTH POLE 95,firn,95.02,1978,332.86,0.1,-7.46,0.02,951380
SOUTH POLE 95,firn,95.02,1978,332.86,0.1,-7.46,0.02,951381
SOUTH POLE 95,firn,100,1977,331.63,0.1,-7.42,0.02,951413
SOUTH POLE 95,firn,100,1977,331.63,0.1,-7.42,0.02,951414
SOUTH POLE 95,firn,100.2,1977,332.33,0.1,-7.45,0.02,951382
SOUTH POLE 95,firn,100.2,1977,332.33,0.1,-7.46,0.02,951383
SOUTH POLE 95,firn,105.3,1976,330.01,0.1,-7.37,0.02,951385
SOUTH POLE 95,firn,107.5,1975,329.18,0.1,-7.39,0.02,951415
SOUTH POLE 95,firn,107.5,1975,329.18,0.1,-7.39,0.02,951416
SOUTH POLE 95,firn,108,1975,329.02,0.1,-7.35,0.02,951386
SOUTH POLE 95,firn,110,1973,328.15,0.1,-7.37,0.02,951388
SOUTH POLE 95,firn,110,1973,328.15,0.1,-7.37,0.02,951389
SOUTH POLE 95,firn,110.6,1973,327.18,0.1,-7.33,0.02,951417
SOUTH POLE 95,firn,110.6,1973,327.18,0.1,-7.34,0.02,951418
SOUTH POLE 95,firn,112,1972,325.76,0.1,-7.31,0.02,951390
